episode,phase,steps,total_waiting_time,vehicle_count,episode_throughput,episode_reward,avg_speed_kmh,avg_queue_length,reward_avg_speed,reward_emergency_penalty,reward_phase_switch,reward_queue_length,reward_throughput,reward_waiting_time
51,training,3601,185386.0,5499,11065,114.9024,4.82,0.51,83.1,-142.9009,-14.98,-1.0914,277.0,-86.2253
52,training,3601,149217.0,5506,11107,133.4574,4.8,0.46,83.1,-128.0766,-14.81,-0.9906,277.0,-82.7653
53,training,3601,135083.0,5497,11026,154.3522,4.83,0.47,83.1,-113.9543,-14.92,-1.0188,277.0,-75.8547
54,training,3601,144065.0,5552,10964,141.6866,4.82,0.48,83.1,-119.6038,-14.95,-1.029,277.0,-82.8307
55,training,3601,171855.0,5547,11000,123.954,4.81,0.51,83.1,-135.7465,-14.92,-1.1022,277.0,-84.3773
56,training,3601,158626.0,5543,10969,127.6769,4.8,0.48,83.1,-133.5278,-14.66,-1.0446,277.0,-83.1907
57,training,3601,139779.0,5644,10934,143.8156,4.83,0.47,83.1,-120.5064,-15.04,-1.026,277.0,-79.712
58,training,3601,154082.0,5548,11077,145.8407,4.81,0.51,83.1,-114.7659,-14.74,-1.1094,277.0,-83.644
59,training,3601,171394.0,5513,11046,124.467,4.81,0.54,83.1,-130.4781,-14.32,-1.1562,277.0,-89.6787
60,training,3601,180441.0,5571,11068,117.6754,4.81,0.53,83.1,-138.576,-14.63,-1.14,277.0,-88.0787
61,training,3601,159152.0,5574,10975,128.6579,4.82,0.5,83.1,-132.1964,-14.63,-1.077,277.0,-83.5387
62,training,3601,149795.0,5510,10997,130.4047,4.83,0.46,83.1,-127.9536,-14.75,-0.993,277.0,-85.9987
63,training,3611,168857.0,5514,11109,112.1693,4.83,0.5,83.4,-147.8494,-14.48,-1.0746,278.0,-85.8267
64,training,3601,166345.0,5527,10933,109.4721,4.81,0.49,83.1,-148.7306,-14.82,-1.056,277.0,-86.0213
65,training,3601,152631.0,5437,10970,128.3454,4.82,0.48,83.1,-130.3755,-14.53,-1.0464,277.0,-85.8027
66,training,3601,140585.0,5549,10967,154.9819,4.81,0.49,83.1,-108.7295,-14.6,-1.0686,277.0,-80.72
67,training,3601,135344.0,5537,10989,147.2077,4.82,0.46,83.1,-113.9516,-14.71,-0.9894,277.0,-83.2413
68,training,3601,164590.0,5554,11012,122.0047,4.81,0.51,83.1,-136.7593,-14.07,-1.0914,277.0,-86.1747
69,training,3601,173182.0,5491,10952,117.5123,4.82,0.5,83.1,-140.219,-14.5,-1.074,277.0,-86.7947
70,training,3601,135813.0,5619,10983,167.0526,4.82,0.49,83.1,-97.636,-14.11,-1.0494,277.0,-80.252
71,training,3601,168764.0,5509,11039,113.4569,4.82,0.51,83.1,-141.3685,-14.19,-1.1046,277.0,-89.98
72,training,3611,153250.0,5362,11222,127.7421,4.84,0.47,83.4,-131.7354,-14.73,-1.0098,278.0,-86.1827
73,training,3601,177986.0,5501,11034,112.3399,4.79,0.52,83.1,-143.835,-13.74,-1.1304,277.0,-89.0547
74,training,3601,162734.0,5521,10989,118.2562,4.82,0.51,83.1,-138.8219,-13.63,-1.0986,277.0,-88.2933
75,training,3601,153184.0,5489,10931,136.0144,4.82,0.5,83.1,-123.4266,-14.05,-1.077,277.0,-85.532
76,training,3601,172698.0,5469,11084,146.0593,4.8,0.5,83.1,-115.76,-13.48,-1.074,277.0,-83.7267
77,training,3608,131558.0,5594,11090,162.2165,4.81,0.48,83.4,-102.8246,-13.39,-1.0356,278.0,-81.9333
78,training,3601,151368.0,5470,11062,145.995,4.78,0.52,83.1,-113.3078,-12.91,-1.1166,277.0,-86.7707
79,training,3601,166544.0,5448,10967,133.7692,4.8,0.51,83.1,-127.8449,-12.85,-1.1106,277.0,-84.5253
80,training,3601,205170.0,5583,10915,86.1745,4.82,0.54,83.1,-167.935,-12.86,-1.1772,277.0,-91.9533
81,training,3601,177385.0,5460,11047,115.269,4.82,0.51,83.1,-145.0381,-12.53,-1.0962,277.0,-86.1667
