episode,phase,steps,total_waiting_time,vehicle_count,episode_throughput,episode_reward,avg_speed_kmh,avg_queue_length,reward_avg_speed,reward_emergency_penalty,reward_phase_switch,reward_queue_length,reward_throughput,reward_waiting_time
51,training,3601,170371.0,5679,11148,136.8267,4.92,0.54,84.9,-132.2323,-13.99,-1.1616,283.0,-83.6893
52,training,3603,143867.0,5642,11161,146.209,4.9,0.48,84.6,-118.2961,-14.28,-1.0416,282.0,-86.7733
53,training,3608,152298.0,5417,11188,144.9968,4.9,0.47,84.3,-123.7001,-14.6,-1.0218,281.0,-80.9813
54,training,3609,207830.0,5524,11211,92.5351,4.9,0.55,84.6,-169.5093,-14.0,-1.1916,282.0,-89.364
55,training,3611,154590.0,5571,11297,135.6307,4.95,0.48,85.2,-133.764,-14.03,-1.038,284.0,-84.7373
56,training,3601,186144.0,5481,11197,106.55,4.92,0.53,84.9,-154.7121,-14.16,-1.1352,283.0,-91.3427
57,training,3611,157182.0,5464,11423,130.5241,4.94,0.5,85.2,-135.4137,-14.28,-1.0782,284.0,-87.904
58,training,3608,158563.0,5418,11288,131.5056,4.87,0.5,84.3,-131.167,-14.37,-1.0854,281.0,-87.172
59,training,3605,144870.0,5351,11272,155.8185,4.93,0.51,85.2,-111.2657,-14.21,-1.1058,284.0,-86.8
60,training,3608,163800.0,5568,11376,130.0737,4.94,0.5,85.2,-141.0467,-14.59,-1.0896,284.0,-82.4
61,training,3609,149414.0,5558,11372,148.1837,4.95,0.5,85.5,-123.7113,-14.04,-1.089,285.0,-83.476
62,training,3604,169137.0,5620,11199,129.9666,4.92,0.51,84.9,-137.7845,-14.17,-1.1016,283.0,-84.8773
63,training,3602,134941.0,5441,11466,178.8138,4.99,0.51,86.1,-97.5727,-14.17,-1.1022,287.0,-81.4413
64,training,3601,196552.0,5445,11503,97.3104,4.97,0.54,85.8,-168.4648,-13.36,-1.1688,286.0,-91.496
65,training,3607,146120.0,5533,11202,140.777,4.93,0.47,84.9,-128.346,-14.52,-1.017,283.0,-83.24
66,training,3606,166806.0,5547,11258,122.2599,4.96,0.51,85.5,-146.6457,-14.28,-1.0998,285.0,-86.2147
67,training,3600,170149.0,5408,11388,125.9882,4.97,0.51,85.5,-140.3978,-13.99,-1.092,285.0,-89.032
68,training,3603,153127.0,5636,11286,135.6656,5.01,0.48,86.4,-137.6255,-13.28,-1.0476,288.0,-86.7813
69,training,3605,157401.0,5598,11351,138.846,5.03,0.46,86.1,-134.1362,-13.9,-1.0044,287.0,-85.2133
70,training,3600,169666.0,5615,11371,131.6084,5.03,0.51,86.4,-143.0608,-12.57,-1.1034,288.0,-86.0573
71,training,3604,156630.0,5488,11502,137.9343,5.04,0.5,86.7,-137.6334,-12.85,-1.0716,289.0,-86.2107
72,training,3607,152827.0,5521,11390,158.0879,4.96,0.51,85.8,-114.6193,-14.09,-1.1082,286.0,-83.8947
73,training,3600,167570.0,5512,11458,128.5937,5.03,0.51,86.4,-143.3909,-12.99,-1.1028,288.0,-88.3227
74,training,3601,137024.0,5562,11509,178.0497,5.04,0.48,86.7,-100.933,-12.75,-1.0446,289.0,-82.9227
75,training,3608,173738.0,5466,11475,134.213,4.99,0.52,86.1,-138.6203,-13.39,-1.134,287.0,-85.7427
76,training,3604,176308.0,5560,11372,127.2465,5.01,0.52,86.7,-146.3849,-12.91,-1.1346,289.0,-88.024
77,training,3604,160831.0,5470,11629,143.7336,5.02,0.53,86.7,-129.7066,-12.93,-1.1484,289.0,-88.1813
78,training,3604,167880.0,5629,11412,122.3519,5.07,0.5,86.7,-149.457,-12.75,-1.0704,289.0,-90.0707
79,training,3609,162337.0,5633,11413,126.5936,5.01,0.5,86.4,-143.1554,-13.33,-1.089,288.0,-90.232
80,training,3606,199308.0,5486,11602,101.7249,5.07,0.51,87.3,-169.9014,-12.72,-1.095,291.0,-92.8587
81,training,3610,152429.0,5491,11701,162.8338,5.07,0.51,87.6,-114.2608,-12.59,-1.11,292.0,-88.8053
82,training,3609,152351.0,5514,11382,146.3109,5.0,0.51,86.4,-130.0506,-13.59,-1.0992,288.0,-83.3493
83,training,3609,153454.0,5308,11691,149.6223,5.05,0.54,87.3,-126.4313,-12.97,-1.1604,291.0,-88.116
84,training,3611,180644.0,5610,11514,122.8132,5.02,0.55,87.0,-146.553,-13.27,-1.1892,290.0,-93.1747
85,training,3608,157894.0,5612,11484,142.79,5.04,0.51,87.0,-132.2996,-13.34,-1.1064,290.0,-87.464
86,training,3603,152600.0,5446,11418,146.6229,5.01,0.48,86.4,-128.9397,-13.84,-1.0428,288.0,-83.9547
87,training,3607,155966.0,5690,11610,152.3476,5.15,0.51,88.5,-129.7833,-11.88,-1.0944,295.0,-88.3947
88,training,3605,167518.0,5623,11598,135.0942,5.1,0.5,87.9,-141.5509,-11.87,-1.0902,293.0,-91.2947
89,training,3600,157057.0,5639,11811,154.6132,5.18,0.52,89.1,-130.8067,-11.53,-1.1208,297.0,-88.0293
90,training,3611,148438.0,5430,11619,160.5626,5.04,0.5,87.0,-115.3998,-13.53,-1.0836,290.0,-86.424
91,training,3603,166555.0,5511,11717,120.1296,5.09,0.53,88.2,-155.11,-12.49,-1.137,294.0,-93.3333
92,training,3607,158260.0,5471,11700,146.9962,5.14,0.5,88.5,-137.7359,-12.15,-1.0926,295.0,-85.5253
93,training,3609,178356.0,5576,11623,116.0236,5.08,0.53,87.3,-156.9278,-12.75,-1.1466,291.0,-91.452
94,training,3601,163842.0,5578,11671,153.8432,5.13,0.52,88.5,-123.6833,-11.92,-1.1322,295.0,-92.9213
95,training,3605,160110.0,5496,11763,157.5695,5.16,0.53,88.8,-127.244,-11.3,-1.1532,296.0,-87.5333
96,training,3600,180787.0,5467,11798,134.6243,5.16,0.55,89.1,-146.2148,-11.71,-1.1856,297.0,-92.3653
97,training,3602,171714.0,5538,11775,135.5051,5.11,0.53,87.9,-141.2343,-12.1,-1.1472,293.0,-90.9133
98,training,3611,174042.0,5510,11926,147.5932,5.19,0.52,89.7,-139.6398,-11.78,-1.1364,299.0,-88.5507
99,training,3604,138547.0,5519,11514,168.5228,5.09,0.49,87.6,-109.6924,-12.23,-1.0548,292.0,-88.1
100,training,3603,204186.0,5627,11505,101.0963,5.12,0.56,88.2,-172.5257,-12.12,-1.206,294.0,-95.252
101,training,3611,183605.0,5515,11871,136.7902,5.19,0.53,89.7,-146.8869,-11.62,-1.1562,299.0,-92.2467
102,training,3600,164114.0,5430,12034,165.6127,5.22,0.56,90.0,-122.2583,-11.15,-1.203,300.0,-89.776
103,training,3604,175267.0,5450,11888,132.586,5.18,0.54,89.4,-149.6186,-11.61,-1.1574,298.0,-92.428
104,training,3605,183000.0,5491,11996,143.44,5.24,0.55,90.6,-145.6609,-10.59,-1.1904,302.0,-91.7187
105,training,3600,184399.0,5612,12010,141.6814,5.22,0.58,90.0,-140.9463,-10.83,-1.2516,300.0,-95.2907
106,training,3602,153919.0,5530,11778,167.6849,5.16,0.52,88.8,-117.5523,-11.43,-1.1328,296.0,-87.0
107,training,3604,166057.0,5551,11912,150.7679,5.23,0.54,90.3,-138.5437,-10.36,-1.1724,301.0,-90.456
108,training,3604,192820.0,5518,12211,121.9707,5.37,0.55,92.1,-172.0947,-9.8,-1.1946,307.0,-94.04
109,training,3601,174116.0,5485,11702,142.1518,5.12,0.54,88.5,-137.7613,-11.54,-1.1616,295.0,-90.8853
110,training,3604,179996.0,5626,11853,132.8035,5.26,0.53,90.3,-152.393,-10.4,-1.1568,301.0,-94.5467
111,training,3601,148286.0,5511,11922,179.8761,5.23,0.55,90.3,-108.3419,-10.87,-1.188,301.0,-91.024
112,training,3601,167505.0,5615,11986,157.4521,5.29,0.55,91.2,-135.9137,-10.14,-1.1862,304.0,-90.508
113,training,3610,170012.0,5479,12128,161.045,5.25,0.57,91.2,-128.7012,-10.59,-1.2318,304.0,-93.632
114,training,3607,174957.0,5603,12030,141.3701,5.34,0.55,92.1,-151.2016,-10.26,-1.191,307.0,-95.0773
115,training,3606,196704.0,5452,12212,134.354,5.31,0.55,91.8,-156.6574,-10.2,-1.2006,306.0,-95.388
116,training,3601,196132.0,5411,12289,110.6089,5.34,0.53,92.1,-179.4885,-9.77,-1.1526,307.0,-98.08
117,training,3608,151416.0,5455,12100,160.9116,5.26,0.49,90.6,-126.3675,-10.72,-1.0596,302.0,-93.5413
118,training,3602,157269.0,5616,12118,148.5671,5.32,0.51,91.5,-146.8278,-9.83,-1.0938,305.0,-90.1813
119,training,3605,202022.0,5345,12422,118.543,5.38,0.57,92.4,-177.1942,-9.81,-1.2354,308.0,-93.6173
120,training,3604,180879.0,5447,12362,142.0465,5.38,0.57,93.0,-155.5923,-9.37,-1.2366,310.0,-94.7547
121,training,3600,198156.0,5617,12130,121.3133,5.33,0.57,91.8,-165.8546,-9.89,-1.2354,306.0,-99.5067
