episode,phase,steps,total_waiting_time,vehicle_count,episode_throughput,episode_reward,avg_speed_kmh,avg_queue_length,reward_avg_speed,reward_emergency_penalty,reward_phase_switch,reward_queue_length,reward_throughput,reward_waiting_time
51,training,3601,151976.0,5516,11051,136.3956,4.85,0.49,83.1,-124.5838,-15.61,-1.0626,277.0,-82.448
52,training,3611,155308.0,5494,11080,141.9825,4.82,0.49,83.4,-121.2084,-15.67,-1.0578,278.0,-81.4813
53,training,3601,147414.0,5324,11109,156.4455,4.82,0.5,83.1,-107.9395,-15.13,-1.089,277.0,-79.496
54,training,3601,180351.0,5561,10988,100.0386,4.85,0.48,83.1,-158.5697,-14.77,-1.0284,277.0,-85.6933
55,training,3601,137257.0,5562,10968,142.2199,4.82,0.48,83.1,-117.8615,-15.01,-1.0272,277.0,-83.9813
56,training,3601,168820.0,5564,10978,101.6264,4.86,0.47,83.1,-155.9916,-15.28,-1.0074,277.0,-86.1947
57,training,3601,135305.0,5429,11091,161.1734,4.82,0.49,83.1,-102.2257,-14.95,-1.0602,277.0,-80.6907
58,training,3601,142228.0,5352,11193,156.1101,4.82,0.5,83.1,-108.3048,-15.13,-1.0884,277.0,-79.4667
59,training,3601,123654.0,5504,11081,166.8092,4.85,0.48,83.1,-99.1576,-14.97,-1.0392,277.0,-78.124
60,training,3601,136994.0,5543,11038,134.804,4.83,0.45,83.1,-128.0417,-15.58,-0.9636,277.0,-80.7107
61,training,3601,146884.0,5485,10963,144.5504,4.83,0.49,83.1,-115.7696,-15.11,-1.062,277.0,-83.608
62,training,3601,181514.0,5493,11063,101.3825,4.83,0.51,83.1,-156.5626,-15.25,-1.0956,277.0,-85.8093
63,training,3601,171492.0,5485,11028,100.2649,4.81,0.49,83.1,-152.8554,-14.81,-1.0524,277.0,-91.1173
64,training,3601,168636.0,5528,10922,112.1794,4.83,0.51,83.1,-143.4141,-15.76,-1.1052,277.0,-87.6413
65,training,3601,153558.0,5652,11037,139.1055,4.81,0.49,83.1,-120.0814,-15.16,-1.0638,277.0,-84.6893
66,training,3601,171777.0,5478,11090,108.7001,4.81,0.51,83.1,-149.2815,-15.08,-1.0944,277.0,-85.944
67,training,3601,149984.0,5613,11041,127.3139,4.83,0.46,83.1,-133.2378,-15.47,-0.9996,277.0,-83.0787
68,training,3601,166179.0,5519,11035,145.2407,4.84,0.48,83.1,-117.47,-15.25,-1.0446,277.0,-81.0947
69,training,3601,149621.0,5550,10910,140.0297,4.81,0.48,83.1,-122.6693,-15.28,-1.0344,277.0,-81.0867
70,training,3601,152788.0,5507,11035,133.8985,4.84,0.49,83.1,-124.344,-15.27,-1.0542,277.0,-85.5333
