ทางหลวงสาย,ตอนควบคุม,ชื่อสายทาง,จุดสำรวจ,รถยนต์นั่ง (ไม่เกิน 7 คน),รถยนต์นั่ง (เกิน 7 คน),รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,   รถบรรทุกขนาดเล็ก ( 4 ล้อ),รถบรรทุกขนาด 2 เพลา  (6 ล้อ),     รถบรรทุกขนาด 3 เพลา (10 ล้อ),   รถบรรทุกพ่วง (มากกว่า 3 เพลา),   รถบรรทุกกึ่งพ่วง (มากกว่า 3 เพลา),รวม,   % ของยานยนต์หนัก,จักรยาน 2 ล้อ และ จักรยาน 3 ล้อ,สามล้อเครื่องและจักรยานยนต์,แขวงทางหลวง,จังหวัด
2201,102,แยกนาเจริญ - ช่องสะงำ,40+865,1144 ,81 ,9 ,1 ,0 ,586 ,62 ,10 ,25 ,4 ,1922 ,7.10 ,1 ,823 ,ขท.ศรีสะเกษที่ 1,ศรีสะเกษ
2208,101,ประโคนชัย - ห้วยละเวี้ย,2+700,639 ,170 ,33 ,14 ,11 ,966 ,125 ,163 ,56 ,47 ,2224 ,17.74 ,11 ,591 ,ขท.บุรีรัมย์,บุรีรัมย์
2208,102,ห้วยละเวี้ย - ระกา,8+861,955 ,432 ,47 ,25 ,29 ,3278 ,295 ,258 ,214 ,113 ,5646 ,16.11 ,29 ,1627 ,ขท.บุรีรัมย์,บุรีรัมย์
2208,102,ห้วยละเวี้ย - ระกา,27+184,900 ,861 ,44 ,34 ,31 ,1554 ,551 ,445 ,344 ,368 ,5132 ,33.64 ,28 ,1334 ,ขท.บุรีรัมย์,บุรีรัมย์
2208,103,ระกา - กระสัง,42+516,1792 ,790 ,45 ,28 ,24 ,3590 ,319 ,317 ,280 ,204 ,7389 ,15.67 ,35 ,2941 ,ขท.บุรีรัมย์,บุรีรัมย์
2210,100,ขมิ้น - น้ำปลีก,1+000,2442 ,1999 ,78 ,59 ,59 ,1797 ,834 ,188 ,144 ,112 ,7712 ,11.45 ,24 ,2194 ,ขท.อำนาจเจริญ,อุบลราชธานี
2210,100,ขมิ้น - น้ำปลีก,34+500,2455 ,1813 ,72 ,74 ,61 ,2678 ,170 ,106 ,109 ,59 ,7597 ,8.66 ,34 ,2140 ,ขท.อำนาจเจริญ,อำนาจเจริญ
2213,100,นาส่วง - นาเยีย,4+000,2007 ,1933 ,41 ,40 ,39 ,2078 ,568 ,579 ,546 ,557 ,8388 ,28.52 ,63 ,1659 ,ขท.อุบลราชธานีที่ 2,อุบลราชธานี
2214,100,นากระแซง - บ้านดวน,1+000,775 ,868 ,106 ,44 ,43 ,898 ,868 ,780 ,727 ,846 ,5955 ,55.05 ,22 ,679 ,ขท.ศรีสะเกษที่ 2,อุบลราชธานี
2214,100,นากระแซง - บ้านดวน,30+437,807 ,857 ,110 ,106 ,106 ,845 ,767 ,798 ,739 ,716 ,5851 ,54.63 ,23 ,544 ,ขท.ศรีสะเกษที่ 2,อุบลราชธานี
2215,101,บุ่งน้ำเต้า - บ้านกลาง,8+000,783 ,510 ,0 ,0 ,0 ,1611 ,37 ,35 ,0 ,0 ,2976 ,2.03 ,17 ,1026 ,ขท.เพชรบูรณ์ที่ 1,เพชรบูรณ์
2216,201,ห้วยสนามทราย - โคกมน,4+000,189 ,149 ,0 ,0 ,0 ,1424 ,69 ,31 ,10 ,5 ,1877 ,6.29 ,9 ,481 ,ขท.เพชรบูรณ์ที่ 1,เพชรบูรณ์
2216,202,โคกมน - กกกะทอน,10+050,1751 ,178 ,18 ,10 ,0 ,761 ,169 ,71 ,44 ,37 ,3039 ,11.12 ,19 ,701 ,ขท.เพชรบูรณ์ที่ 1,เพชรบูรณ์
2216,202,โคกมน - กกกะทอน,59+000,1107 ,210 ,5 ,0 ,0 ,399 ,102 ,58 ,28 ,24 ,1933 ,10.66 ,11 ,652 ,ขท.เพชรบูรณ์ที่ 1,เพชรบูรณ์
2216,202,โคกมน - กกกะทอน,95+000,2730 ,243 ,14 ,2 ,0 ,1011 ,200 ,107 ,36 ,25 ,4368 ,9.41 ,10 ,736 ,ขท.เพชรบูรณ์ที่ 1,เพชรบูรณ์
2217,100,ด่านขุนทด - หนองกราด,1+700,1608 ,1266 ,45 ,57 ,70 ,74 ,61 ,53 ,56 ,51 ,3341 ,11.62 ,25 ,1345 ,ขท.นครราชสีมาที่ 2,นครราชสีมา
2218,100,คำเพิ่ม - ห้วยบาง,1+000,1622 ,577 ,42 ,27 ,13 ,508 ,181 ,37 ,30 ,12 ,3049 ,8.90 ,13 ,1053 ,ขท.สกลนครที่ 2 (สว่างแดนดิน),สกลนคร
2218,100,คำเพิ่ม - ห้วยบาง,29+220,1230 ,238 ,37 ,14 ,9 ,1436 ,95 ,25 ,23 ,24 ,3131 ,5.98 ,14 ,1118 ,ขท.สกลนครที่ 2 (สว่างแดนดิน),สกลนคร
2219,100,บ้านหมี่ - โคกเจริญ,17+000,1540 ,2072 ,27 ,29 ,25 ,1287 ,175 ,142 ,120 ,61 ,5478 ,10.47 ,4 ,724 ,ขท.ลพบุรีที่ 1,ลพบุรี
2219,100,บ้านหมี่ - โคกเจริญ,24+012,2382 ,1512 ,33 ,26 ,21 ,1625 ,300 ,249 ,243 ,72 ,6463 ,15.51 ,2 ,974 ,ขท.ลพบุรีที่ 1,ลพบุรี
2219,100,บ้านหมี่ - โคกเจริญ,36+624,1516 ,1610 ,39 ,27 ,23 ,1252 ,198 ,179 ,171 ,146 ,5161 ,17.32 ,3 ,948 ,ขท.ลพบุรีที่ 1,ลพบุรี
2219,200,โคกเจริญ - หนองมะค่า,47+335,1606 ,1281 ,131 ,70 ,69 ,1757 ,941 ,845 ,98 ,98 ,6896 ,28.64 ,0 ,554 ,ขท.ลพบุรีที่ 2 (ลำนารายณ์),ลพบุรี
