ลำดับที่,ปีที่สำรวจ,จุดสำรวจ,ถนน,ทิศทาง,รายการสำรวจ, ปริมาณจราจร (คัน/วัน) , ปริมาณจราจร (PCU/ชั่วโมง) 
174,2564,MB 18,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,702,476
175,2564,MB 18,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรชั่วโมงสูงสุด ,702,476
176,2564,MB 18,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"3,639","3,703"
177,2564,MB 18,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,526,410
178,2564,MB 18,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,533,443
179,2564,MB 18,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,703,517
180,2564,MB 18,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรชั่วโมงสูงสุด ,703,517
181,2564,MB 19,ทางหลวงแผ่นดินหมายเลข 43,ขาเข้า,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"12,099","12,285"
182,2564,MB 19,ทางหลวงแผ่นดินหมายเลข 43,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,928,877
183,2564,MB 19,ทางหลวงแผ่นดินหมายเลข 43,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,991,950
184,2564,MB 19,ทางหลวงแผ่นดินหมายเลข 43,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,972,889
185,2564,MB 19,ทางหลวงแผ่นดินหมายเลข 43,ขาเข้า,ปริมาณจราจรชั่วโมงสูงสุด ,991,950
186,2564,MB 19,ทางหลวงแผ่นดินหมายเลข 43,ขาออก,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"9,414","9,881"
187,2564,MB 19,ทางหลวงแผ่นดินหมายเลข 43,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,944,898
188,2564,MB 19,ทางหลวงแผ่นดินหมายเลข 43,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"1,176","1,176"
189,2564,MB 19,ทางหลวงแผ่นดินหมายเลข 43,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"1,034","1,012"
190,2564,MB 19,ทางหลวงแผ่นดินหมายเลข 43,ขาออก,ปริมาณจราจรชั่วโมงสูงสุด ,"1,176","1,176"
191,2564,MB 20,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"8,894","10,268"
192,2564,MB 20,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,876,661
193,2564,MB 20,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,700,675
194,2564,MB 20,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"1,149",944
195,2564,MB 20,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรชั่วโมงสูงสุด ,"1,149",944
196,2564,MB 20,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"6,626","7,615"
197,2564,MB 20,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"1,235",988
198,2564,MB 20,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,822,828
199,2564,MB 20,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,828,831
200,2564,MB 20,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรชั่วโมงสูงสุด ,"1,235",988
201,2564,MB 21,ทางหลวงแผ่นดินหมายเลข 403,ขาเข้า,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"8,296","7,124"
202,2564,MB 21,ทางหลวงแผ่นดินหมายเลข 403,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,435,376
203,2564,MB 21,ทางหลวงแผ่นดินหมายเลข 403,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,550,477
204,2564,MB 21,ทางหลวงแผ่นดินหมายเลข 403,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,672,602
205,2564,MB 21,ทางหลวงแผ่นดินหมายเลข 403,ขาเข้า,ปริมาณจราจรชั่วโมงสูงสุด ,672,602
206,2564,MB 21,ทางหลวงแผ่นดินหมายเลข 403,ขาออก,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"6,498","5,952"
207,2564,MB 21,ทางหลวงแผ่นดินหมายเลข 403,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,576,499
208,2564,MB 21,ทางหลวงแผ่นดินหมายเลข 403,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,702,705
209,2564,MB 21,ทางหลวงแผ่นดินหมายเลข 403,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,748,667
210,2564,MB 21,ทางหลวงแผ่นดินหมายเลข 403,ขาออก,ปริมาณจราจรชั่วโมงสูงสุด ,748,705
211,2564,MB 22,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"8,711","11,683"
212,2564,MB 22,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,350,379
213,2564,MB 22,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,442,475
214,2564,MB 22,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,707,"1,166"
215,2564,MB 22,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรชั่วโมงสูงสุด ,707,"1,166"
216,2564,MB 22,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"12,577","18,310"
217,2564,MB 22,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,675,922
218,2564,MB 22,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,736,921
219,2564,MB 22,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,719,"1,091"
220,2564,MB 22,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรชั่วโมงสูงสุด ,760,"1,091"
221,2564,MB 23,ทางหลวงแผ่นดินหมายเลข 35,ขาเข้า,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"32,174","41,542"
222,2564,MB 23,ทางหลวงแผ่นดินหมายเลข 35,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"1,949","2,357"
223,2564,MB 23,ทางหลวงแผ่นดินหมายเลข 35,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"1,922","2,424"
224,2564,MB 23,ทางหลวงแผ่นดินหมายเลข 35,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"2,239","2,698"
225,2564,MB 23,ทางหลวงแผ่นดินหมายเลข 35,ขาเข้า,ปริมาณจราจรชั่วโมงสูงสุด ,"2,239","2,698"
226,2564,MB 23,ทางหลวงแผ่นดินหมายเลข 35,ขาออก,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"17,427","17,766"
227,2564,MB 23,ทางหลวงแผ่นดินหมายเลข 35,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"1,491","1,489"
228,2564,MB 23,ทางหลวงแผ่นดินหมายเลข 35,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"2,162","2,276"
229,2564,MB 23,ทางหลวงแผ่นดินหมายเลข 35,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"1,828","1,751"
230,2564,MB 23,ทางหลวงแผ่นดินหมายเลข 35,ขาออก,ปริมาณจราจรชั่วโมงสูงสุด ,"2,162","2,276"
231,2564,MB 24,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"18,032","17,255"
232,2564,MB 24,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"1,101","1,035"
233,2564,MB 24,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"1,187","1,168"
234,2564,MB 24,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"1,449","1,321"
235,2564,MB 24,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรชั่วโมงสูงสุด ,"1,449","1,321"
236,2564,MB 24,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"12,621","12,225"
237,2564,MB 24,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"1,449","1,238"
238,2564,MB 24,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"1,211","1,245"
239,2564,MB 24,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"1,309","1,205"
240,2564,MB 24,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรชั่วโมงสูงสุด ,"1,449","1,245"
241,2564,MB 25,ทางหลวงแผ่นดินหมายเลข 32,ขาเข้า,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"66,533","79,090"
242,2564,MB 25,ทางหลวงแผ่นดินหมายเลข 32,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"4,297","4,707"
243,2564,MB 25,ทางหลวงแผ่นดินหมายเลข 32,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"3,499","4,327"
244,2564,MB 25,ทางหลวงแผ่นดินหมายเลข 32,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"5,301","5,801"
245,2564,MB 25,ทางหลวงแผ่นดินหมายเลข 32,ขาเข้า,ปริมาณจราจรชั่วโมงสูงสุด ,"5,301","5,801"
246,2564,MB 25,ทางหลวงแผ่นดินหมายเลข 32,ขาออก,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"69,068","80,985"
247,2564,MB 25,ทางหลวงแผ่นดินหมายเลข 32,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"5,645","6,118"
248,2564,MB 25,ทางหลวงแผ่นดินหมายเลข 32,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"4,095","4,839"
249,2564,MB 25,ทางหลวงแผ่นดินหมายเลข 32,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"4,612","5,043"
250,2564,MB 25,ทางหลวงแผ่นดินหมายเลข 32,ขาออก,ปริมาณจราจรชั่วโมงสูงสุด ,"5,645","6,118"
251,2564,MB 26,ทางหลวงแผ่นดินหมายเลข 1,ขาเข้า,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"62,252","74,145"
252,2564,MB 26,ทางหลวงแผ่นดินหมายเลข 1,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"2,939","3,922"
253,2564,MB 26,ทางหลวงแผ่นดินหมายเลข 1,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"3,902","5,080"
254,2564,MB 26,ทางหลวงแผ่นดินหมายเลข 1,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"5,346","6,062"
255,2564,MB 26,ทางหลวงแผ่นดินหมายเลข 1,ขาเข้า,ปริมาณจราจรชั่วโมงสูงสุด ,"5,346","6,062"
256,2564,MB 26,ทางหลวงแผ่นดินหมายเลข 1,ขาออก,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"38,900","48,098"
257,2564,MB 26,ทางหลวงแผ่นดินหมายเลข 1,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"4,112","5,030"
258,2564,MB 26,ทางหลวงแผ่นดินหมายเลข 1,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"4,764","6,093"
259,2564,MB 26,ทางหลวงแผ่นดินหมายเลข 1,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"3,279","4,422"
260,2564,MB 26,ทางหลวงแผ่นดินหมายเลข 1,ขาออก,ปริมาณจราจรชั่วโมงสูงสุด ,"4,764","6,093"
261,2564,MB 27,ทางหลวงแผ่นดินหมายเลข 2,ขาเข้า,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"50,716","61,670"
262,2564,MB 27,ทางหลวงแผ่นดินหมายเลข 2,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"3,256","3,689"
263,2564,MB 27,ทางหลวงแผ่นดินหมายเลข 2,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"3,476","4,317"
264,2564,MB 27,ทางหลวงแผ่นดินหมายเลข 2,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"3,125","4,080"
265,2564,MB 27,ทางหลวงแผ่นดินหมายเลข 2,ขาเข้า,ปริมาณจราจรชั่วโมงสูงสุด ,"3,476","4,425"
266,2564,MB 27,ทางหลวงแผ่นดินหมายเลข 2,ขาออก,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"20,542","25,861"
267,2564,MB 27,ทางหลวงแผ่นดินหมายเลข 2,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"2,041","2,789"
268,2564,MB 27,ทางหลวงแผ่นดินหมายเลข 2,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"2,459","3,149"
269,2564,MB 27,ทางหลวงแผ่นดินหมายเลข 2,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"1,904","2,354"
270,2564,MB 27,ทางหลวงแผ่นดินหมายเลข 2,ขาออก,ปริมาณจราจรชั่วโมงสูงสุด ,"2,459","3,149"
271,2564,MB 28,ทางหลวงแผ่นดินหมายเลข 331,ขาเข้า,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"24,800","33,572"
272,2564,MB 28,ทางหลวงแผ่นดินหมายเลข 331,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"2,889","3,027"
273,2564,MB 28,ทางหลวงแผ่นดินหมายเลข 331,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"1,420","2,032"
274,2564,MB 28,ทางหลวงแผ่นดินหมายเลข 331,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"1,467","1,921"
275,2564,MB 28,ทางหลวงแผ่นดินหมายเลข 331,ขาเข้า,ปริมาณจราจรชั่วโมงสูงสุด ,"2,889","3,027"
276,2564,MB 28,ทางหลวงแผ่นดินหมายเลข 331,ขาออก,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"23,632","32,291"
277,2564,MB 28,ทางหลวงแผ่นดินหมายเลข 331,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"1,628","2,026"
278,2564,MB 28,ทางหลวงแผ่นดินหมายเลข 331,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"1,449","2,130"
279,2564,MB 28,ทางหลวงแผ่นดินหมายเลข 331,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"1,972","2,269"
280,2564,MB 28,ทางหลวงแผ่นดินหมายเลข 331,ขาออก,ปริมาณจราจรชั่วโมงสูงสุด ,"1,972","2,269"
281,2564,MB 29,ทางหลวงแผ่นดินหมายเลข 36,ขาเข้า,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"28,272","34,135"
282,2564,MB 29,ทางหลวงแผ่นดินหมายเลข 36,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"1,926","2,130"
283,2564,MB 29,ทางหลวงแผ่นดินหมายเลข 36,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"1,720","2,045"
284,2564,MB 29,ทางหลวงแผ่นดินหมายเลข 36,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"2,286","2,462"
285,2564,MB 29,ทางหลวงแผ่นดินหมายเลข 36,ขาเข้า,ปริมาณจราจรชั่วโมงสูงสุด ,"2,286","2,462"
286,2564,MB 29,ทางหลวงแผ่นดินหมายเลข 36,ขาออก,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"29,394","37,620"
287,2564,MB 29,ทางหลวงแผ่นดินหมายเลข 36,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"2,292","2,697"
288,2564,MB 29,ทางหลวงแผ่นดินหมายเลข 36,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"1,826","2,443"
289,2564,MB 29,ทางหลวงแผ่นดินหมายเลข 36,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"2,318","2,730"
290,2564,MB 29,ทางหลวงแผ่นดินหมายเลข 36,ขาออก,ปริมาณจราจรชั่วโมงสูงสุด ,"2,318","2,730"
291,2564,MB 30,ทางหลวงแผ่นดินหมายเลข 304,ขาเข้า,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"9,394","10,788"
292,2564,MB 30,ทางหลวงแผ่นดินหมายเลข 304,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,560,657
293,2564,MB 30,ทางหลวงแผ่นดินหมายเลข 304,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,657,772
294,2564,MB 30,ทางหลวงแผ่นดินหมายเลข 304,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,665,750
295,2564,MB 30,ทางหลวงแผ่นดินหมายเลข 304,ขาเข้า,ปริมาณจราจรชั่วโมงสูงสุด ,777,"1,051"
296,2564,MB 30,ทางหลวงแผ่นดินหมายเลข 304,ขาออก,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"6,771","7,693"
297,2564,MB 30,ทางหลวงแผ่นดินหมายเลข 304,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,620,723
298,2564,MB 30,ทางหลวงแผ่นดินหมายเลข 304,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,740,886
299,2564,MB 30,ทางหลวงแผ่นดินหมายเลข 304,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,764,890
300,2564,MB 30,ทางหลวงแผ่นดินหมายเลข 304,ขาออก,ปริมาณจราจรชั่วโมงสูงสุด ,764,890
