ลำดับที่,ปีที่สำรวจ,จุดสำรวจ,ถนน,ทิศทาง,รายการสำรวจ, ปริมาณจราจร (คัน/วัน) , ปริมาณจราจร (PCU/ชั่วโมง) 
35,2564,MB 04,ทางหลวงแผ่นดินหมายเลข 32,ขาเข้า,ปริมาณจราจรชั่วโมงสูงสุด ,"5,395","5,266"
36,2564,MB 04,ทางหลวงแผ่นดินหมายเลข 32,ขาออก,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"36,610","42,396"
37,2564,MB 04,ทางหลวงแผ่นดินหมายเลข 32,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"3,973","4,281"
38,2564,MB 04,ทางหลวงแผ่นดินหมายเลข 32,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"3,617","4,239"
39,2564,MB 04,ทางหลวงแผ่นดินหมายเลข 32,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"5,210","5,468"
40,2564,MB 04,ทางหลวงแผ่นดินหมายเลข 32,ขาออก,ปริมาณจราจรชั่วโมงสูงสุด ,"5,210","5,468"
41,2564,MB 05,ทางหลวงแผ่นดินหมายเลข 1,ขาเข้า,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"64,804","79,537"
42,2564,MB 05,ทางหลวงแผ่นดินหมายเลข 1,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"4,545","5,089"
43,2564,MB 05,ทางหลวงแผ่นดินหมายเลข 1,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"3,937","4,934"
44,2564,MB 05,ทางหลวงแผ่นดินหมายเลข 1,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"4,458","5,285"
45,2564,MB 05,ทางหลวงแผ่นดินหมายเลข 1,ขาเข้า,ปริมาณจราจรชั่วโมงสูงสุด ,"4,545","5,502"
46,2564,MB 05,ทางหลวงแผ่นดินหมายเลข 1,ขาออก,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"38,597","47,300"
47,2564,MB 05,ทางหลวงแผ่นดินหมายเลข 1,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"3,758","4,566"
48,2564,MB 05,ทางหลวงแผ่นดินหมายเลข 1,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"4,711","5,683"
49,2564,MB 05,ทางหลวงแผ่นดินหมายเลข 1,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"4,097","4,937"
50,2564,MB 05,ทางหลวงแผ่นดินหมายเลข 1,ขาออก,ปริมาณจราจรชั่วโมงสูงสุด ,"4,711","5,683"
51,2564,MB 06,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"49,903","55,364"
52,2564,MB 06,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"3,183","3,152"
53,2564,MB 06,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"3,496","3,685"
54,2564,MB 06,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"3,904","3,952"
55,2564,MB 06,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรชั่วโมงสูงสุด ,"3,904","3,952"
56,2564,MB 06,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"24,543","26,011"
57,2564,MB 06,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"1,999","2,106"
58,2564,MB 06,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"2,665","2,787"
59,2564,MB 06,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"2,429","2,436"
60,2564,MB 06,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรชั่วโมงสูงสุด ,"4,376","4,478"
61,2564,MB 07,ทางหลวงแผ่นดินหมายเลข 35,ขาเข้า,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"44,127","55,720"
62,2564,MB 07,ทางหลวงแผ่นดินหมายเลข 35,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"3,578","3,727"
63,2564,MB 07,ทางหลวงแผ่นดินหมายเลข 35,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"2,824","3,369"
64,2564,MB 07,ทางหลวงแผ่นดินหมายเลข 35,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"3,444","3,794"
65,2564,MB 07,ทางหลวงแผ่นดินหมายเลข 35,ขาเข้า,ปริมาณจราจรชั่วโมงสูงสุด ,"3,578","3,794"
66,2564,MB 07,ทางหลวงแผ่นดินหมายเลข 35,ขาออก,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"47,678","62,442"
67,2564,MB 07,ทางหลวงแผ่นดินหมายเลข 35,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"3,015","3,536"
68,2564,MB 07,ทางหลวงแผ่นดินหมายเลข 35,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"3,141","3,832"
69,2564,MB 07,ทางหลวงแผ่นดินหมายเลข 35,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"2,992","3,587"
70,2564,MB 07,ทางหลวงแผ่นดินหมายเลข 35,ขาออก,ปริมาณจราจรชั่วโมงสูงสุด ,"3,268","3,952"
71,2564,MB 08,ทางหลวงแผ่นดินหมายเลข 3,ขาเข้า,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"17,156","21,856"
72,2564,MB 08,ทางหลวงแผ่นดินหมายเลข 3,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"1,512","1,401"
73,2564,MB 08,ทางหลวงแผ่นดินหมายเลข 3,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"1,259","1,394"
74,2564,MB 08,ทางหลวงแผ่นดินหมายเลข 3,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"1,901","1,706"
75,2564,MB 08,ทางหลวงแผ่นดินหมายเลข 3,ขาเข้า,ปริมาณจราจรชั่วโมงสูงสุด ,"1,901","1,706"
76,2564,MB 08,ทางหลวงแผ่นดินหมายเลข 3,ขาออก,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"11,733","14,579"
77,2564,MB 08,ทางหลวงแผ่นดินหมายเลข 3,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"1,770","1,763"
78,2564,MB 08,ทางหลวงแผ่นดินหมายเลข 3,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"1,480","1,731"
79,2564,MB 08,ทางหลวงแผ่นดินหมายเลข 3,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"1,892","1,628"
80,2564,MB 08,ทางหลวงแผ่นดินหมายเลข 3,ขาออก,ปริมาณจราจรชั่วโมงสูงสุด ,"1,892","1,902"
81,2564,MB 09,ทางหลวงแผ่นดินหมายเลข 34,ขาเข้า,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"55,099","74,063"
82,2564,MB 09,ทางหลวงแผ่นดินหมายเลข 34,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"4,414","5,054"
83,2564,MB 09,ทางหลวงแผ่นดินหมายเลข 34,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"3,673","5,852"
84,2564,MB 09,ทางหลวงแผ่นดินหมายเลข 34,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"4,736","5,294"
85,2564,MB 09,ทางหลวงแผ่นดินหมายเลข 34,ขาเข้า,ปริมาณจราจรชั่วโมงสูงสุด ,"4,736","5,852"
86,2564,MB 09,ทางหลวงแผ่นดินหมายเลข 34,ขาออก,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"29,110","39,410"
87,2564,MB 09,ทางหลวงแผ่นดินหมายเลข 34,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"4,417","4,395"
88,2564,MB 09,ทางหลวงแผ่นดินหมายเลข 34,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"3,210","4,632"
89,2564,MB 09,ทางหลวงแผ่นดินหมายเลข 34,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"3,377","4,167"
90,2564,MB 09,ทางหลวงแผ่นดินหมายเลข 34,ขาออก,ปริมาณจราจรชั่วโมงสูงสุด ,"4,417","4,989"
91,2564,MB 10,ทางหลวงแผ่นดินหมายเลข 7,ขาเข้า,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"45,136","50,263"
92,2564,MB 10,ทางหลวงแผ่นดินหมายเลข 7,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"2,455","2,892"
93,2564,MB 10,ทางหลวงแผ่นดินหมายเลข 7,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"2,838","3,352"
94,2564,MB 10,ทางหลวงแผ่นดินหมายเลข 7,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"3,619","4,147"
95,2564,MB 10,ทางหลวงแผ่นดินหมายเลข 7,ขาเข้า,ปริมาณจราจรชั่วโมงสูงสุด ,"3,619","4,147"
96,2564,MB 10,ทางหลวงแผ่นดินหมายเลข 7,ขาออก,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"30,666","34,390"
97,2564,MB 10,ทางหลวงแผ่นดินหมายเลข 7,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"3,438","3,798"
98,2564,MB 10,ทางหลวงแผ่นดินหมายเลข 7,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"3,713","4,444"
99,2564,MB 10,ทางหลวงแผ่นดินหมายเลข 7,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"2,531","2,960"
100,2564,MB 10,ทางหลวงแผ่นดินหมายเลข 7,ขาออก,ปริมาณจราจรชั่วโมงสูงสุด ,"3,713","4,444"
101,2564,MB 11,ทางหลวงแผ่นดินหมายเลข 33,ขาเข้า,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"3,735","4,394"
102,2564,MB 11,ทางหลวงแผ่นดินหมายเลข 33,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,280,297
103,2564,MB 11,ทางหลวงแผ่นดินหมายเลข 33,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,292,304
104,2564,MB 11,ทางหลวงแผ่นดินหมายเลข 33,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,325,314
105,2564,MB 11,ทางหลวงแผ่นดินหมายเลข 33,ขาเข้า,ปริมาณจราจรชั่วโมงสูงสุด ,325,314
